ticker,name,market,security_type,ohlcv_rows,trade_dates,min_date,max_date,has_krx
465480,인스피언,KOSDAQ,,386,386,2024-10-18,2026-05-20,t
465770,STX그린로지스,KOSPI,,648,648,2023-09-15,2026-05-20,t
466100,클로봇,KOSDAQ,,380,380,2024-10-28,2026-05-20,t
466410,사이냅소프트,KOSDAQ,,364,364,2024-11-19,2026-05-20,t
466690,키움히어로제1호스팩,KOSDAQ,,105,105,2025-12-12,2026-05-20,t
466910,엔에이치스팩30호,KOSDAQ,,596,596,2023-12-01,2026-05-18,t
467930,IBKS제23호스팩,KOSDAQ,,583,583,2023-12-22,2026-05-20,t
468510,삼성스팩9호,KOSDAQ,,370,370,2023-12-04,2025-06-16,t
468530,프로티나,KOSDAQ,,197,197,2025-07-29,2026-05-20,t
468760,유진스팩10호,KOSDAQ,,539,539,2024-02-29,2026-05-20,t
469480,IBKS제24호스팩,KOSDAQ,,557,557,2024-02-01,2026-05-20,t
469610,이노테크,KOSDAQ,,130,130,2025-11-07,2026-05-20,t
469750,아이비젼웍스,KOSDAQ,,413,413,2024-09-03,2026-05-20,t
469880,하나30호스팩,KOSDAQ,,583,583,2023-12-22,2026-05-20,t
469900,하나31호스팩,KOSDAQ,,537,537,2024-03-05,2026-05-20,t
471050,대신밸런스제17호스팩,KOSDAQ,,563,563,2024-01-24,2026-05-20,t
471820,셀로맥스사이언스,KOSDAQ,,346,346,2024-12-13,2026-05-20,t
472220,신영스팩10호,KOSDAQ,,554,554,2024-02-06,2026-05-20,t
472230,에스케이증권제11호스팩,KOSDAQ,,538,538,2024-03-04,2026-05-20,t
472850,폰드그룹,KOSDAQ,,556,556,2024-02-02,2026-05-20,t
473000,에스케이증권제12호스팩,KOSDAQ,,495,495,2024-05-07,2026-05-20,t
473050,유안타제15호스팩,KOSDAQ,,539,539,2024-02-29,2026-05-20,t
473370,비엔케이제2호스팩,KOSDAQ,,505,505,2024-03-05,2026-04-02,t
473950,에스케이증권제13호스팩,KOSDAQ,,440,440,2024-07-25,2026-05-20,t
473980,노머스,KOSDAQ,,369,369,2024-11-12,2026-05-20,t
474170,루미르,KOSDAQ,,385,385,2024-10-21,2026-05-20,t
474490,유안타제16호스팩,KOSDAQ,,497,497,2024-05-02,2026-05-20,t
474610,RF시스템즈,KOSDAQ,,364,364,2024-11-19,2026-05-20,t
474650,링크솔루션,KOSDAQ,,232,232,2025-06-10,2026-05-20,t
474660,신한제12호스팩,KOSDAQ,,509,509,2024-04-15,2026-05-20,t
474930,신한제13호스팩,KOSDAQ,,504,504,2024-04-22,2026-05-20,t
